experiment,system,eval_domain,k,seed,n_test,mean_macro_f1,f1_MI,ci_low_MI,ci_high_MI,f1_ML,ci_low_ML,ci_high_ML,f1_PG,ci_low_PG,ci_high_PG,f1_AC,ci_low_AC,ci_high_AC,ece_mean,max_shortcut_gap
e,tfidf_prog_only,programming,0,4,162,0.14747202743237506,0.26368159203980096,0.23284389037648334,0.2863276299112801,0.2414698162729659,0.20537124802527648,0.26976928755998525,0.04597701149425287,0.005208333333333333,0.0784313725490196,0.03875968992248062,0.009130866958655611,0.0697350069735007,0.2716049382716049,
e,tfidf_prog_only,programming,128,0,162,0.4565047778384854,0.2606516290726817,0.2289830917874396,0.28156923122364735,0.4498166319754187,0.3150653116764517,0.5373919401906188,0.5284163473818646,0.3714709523406729,0.6094746716697936,0.5871345029239766,0.4986942916220508,0.6365932968105844,0.2531694062182812,-0.40058964890876164
e,tfidf_prog_only,programming,128,1,162,0.47638062246266455,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.43913825569573034,0.3262853618490122,0.5133546833331315,0.5781412386063548,0.4037444647609707,0.6615882474997038,0.624561403508772,0.5223375800001501,0.6529115025005436,0.28197780090533386,-0.41774085822567814
e,tfidf_prog_only,programming,128,2,162,0.4898261872076538,0.4285612535612535,0.30366327578228935,0.5124065218787773,0.4581107239643825,0.36067166309357424,0.5500241873097892,0.504130355846042,0.3572098993366156,0.6190609686757367,0.5685024154589372,0.41207727312401315,0.6548630449615019,0.2162562350764382,-0.5105006181744225
e,tfidf_prog_only,programming,128,3,162,0.40983396872053685,0.3871125290480129,0.3121302753140767,0.4500281918290328,0.38382291995274237,0.25212897990296534,0.5246768541964358,0.4121487737534513,0.28062214711069866,0.6094628561083685,0.4562516521279408,0.30580844971658977,0.5609459373102852,0.1830617526226362,-0.38890677030554677
e,tfidf_prog_only,programming,128,4,162,0.4608986395503254,0.3243715348978507,0.25057574757145573,0.3978186294540699,0.3909782585553832,0.26930531557830206,0.5376934831767555,0.5362878406356667,0.36731999135742455,0.6190492485967771,0.5919569241124011,0.440376224442676,0.6405501887275287,0.2166832288940993,-0.43391245429261094
e,tfidf_prog_only,programming,16,0,162,0.2913015441942496,0.3047761566280085,0.26383199197553414,0.34118781802420245,0.29004802119556217,0.21004841103291294,0.3776745233156031,0.27106227106227104,0.24934026816935426,0.29333333333333333,0.29931972789115646,0.2832796281314704,0.3132537669474892,0.18022073748440165,-0.39713764573661603
e,tfidf_prog_only,programming,16,1,162,0.27521237956106803,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.2667859272510435,0.18958823877132006,0.36047979163334776,0.27106227106227104,0.24836434573829533,0.2947854839146814,0.29931972789115646,0.28373450770682607,0.3136177851422259,0.20752964008800495,-0.23445645170793827
e,tfidf_prog_only,programming,16,2,162,0.2532693184369291,0.15501529051987767,0.11010370988559742,0.20534057303988584,0.2876799842744115,0.22202486836284208,0.3566845456955164,0.27106227106227104,0.24896985730319066,0.29420141262246524,0.29931972789115646,0.28484801576132845,0.31354674560792506,0.13298726275222922,-0.5126891726122047
e,tfidf_prog_only,programming,16,3,162,0.28149105679580116,0.26368159203980096,0.2331258562153791,0.2857219662058371,0.2414698162729659,0.20671567685309755,0.2712484187223276,0.28872549019607846,0.25833150072894656,0.3280449586945176,0.33208732867435936,0.2928940319297118,0.37768858523859494,0.24718966829241393,0.1095932327119316
e,tfidf_prog_only,programming,16,4,162,0.27426170826763674,0.26368159203980096,0.23284389037648334,0.2863276299112801,0.2629832420773187,0.2129447186176839,0.31100294823096974,0.27106227106227104,0.24800770412949324,0.2943740981240981,0.29931972789115646,0.2842072104660276,0.3137254901960784,0.18822917278175574,-0.40811867105009536
e,tfidf_prog_only,programming,32,0,162,0.36183863088968105,0.34762034762034766,0.2800455046033282,0.4152239709443099,0.33382973442541575,0.25125474377031537,0.39318715257859926,0.32334087481146306,0.2525244135709252,0.5059706774519716,0.4425635667014977,0.3009815606334594,0.6070680929376581,0.2160895545571615,-0.46217271966061163
e,tfidf_prog_only,programming,32,1,162,0.2732825123587531,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.25906645844178383,0.17631309643286436,0.33324409268501404,0.27106227106227104,0.24836434573829533,0.2947854839146814,0.29931972789115646,0.28373450770682607,0.3136177851422259,0.20183334455101726,-0.479882710581535
e,tfidf_prog_only,programming,32,2,162,0.31469921719777916,0.3022030651340996,0.24626685039532628,0.36538840830449826,0.2582972582972583,0.21704204071534605,0.2974522263665943,0.35951159586300774,0.25276481183792016,0.5428438903947083,0.338784949496751,0.22221062025881305,0.5081318025865833,0.13568921567248937,-0.5570596025524972
